company_name,domain,website_clean,priority_tier,tier_name,business_type,market_region,estimated_employees,currency,monthly_revenue_display,monthly_revenue_numeric,monthly_marketing_spend_display,monthly_marketing_spend_numeric,opportunity_value_display,opportunity_value_numeric,overall_fit_score,size_confidence,revenue_confidence,marketing_confidence,opportunity_confidence,opportunity_type,discovery_query_type,bigquery_domain_key,bigquery_enrichment_status,bigquery_last_update,lead_status,assigned_to,contact_priority,follow_up_date,notes,created_date,last_modified
Light Therapy Facial Treatment in Montreal and Laval,newagespa.ca › led-facial,https://newagespa.ca,2,Tier 2 - Gold,Medical,"Montreal, QC",8,CAD,"CAD $80,000",80000.0,"CAD $1,600",1600.0,CAD $125,125.43999999999998,0.856,0.7,0.595,0.5355,0.4284,General conversion optimization,consultation_funnel,newagespa.ca,pending,,new,,high,2025-08-01T09:00:00,Discovered via consultation_funnel. Fit score: 0.86. HIGH VALUE TARGET - immediate outreach recommended. Medical practice = stable business model.,2025-07-30T14:52:32.817366,2025-07-30T14:52:32.817366
"TOP 10 BEST Medical Aesthetics in Montreal, QC",yelp.com › health & medical,https://yelp.com,2,Tier 2 - Gold,Medical,"Montreal, QC",8,USD,"USD $80,000",80000.0,"USD $1,600",1600.0,USD $125,125.43999999999998,0.856,0.7,0.595,0.5355,0.4284,General conversion optimization,consultation_funnel,yelp.com,pending,,new,,high,2025-08-01T09:00:00,Discovered via consultation_funnel. Fit score: 0.86. HIGH VALUE TARGET - immediate outreach recommended. Medical practice = stable business model.,2025-07-30T14:52:32.817366,2025-07-30T14:52:32.817366
Facial Treatment - Medical Spa in Montreal,imabeauty.ca › treatments,https://imabeauty.ca,2,Tier 2 - Gold,Medical,"Montreal, QC",8,CAD,"CAD $80,000",80000.0,"CAD $1,600",1600.0,CAD $125,125.43999999999998,0.856,0.7,0.595,0.5355,0.4284,General conversion optimization,consultation_funnel,imabeauty.ca,pending,,new,,high,2025-08-01T09:00:00,Discovered via consultation_funnel. Fit score: 0.86. HIGH VALUE TARGET - immediate outreach recommended. Medical practice = stable business model.,2025-07-30T14:52:32.817366,2025-07-30T14:52:32.817366
LASER HAIR REMOVAL •MONTREAL• Beauty Clinic ...,6 likes  ·  2 weeks ago,https://6 likes  ·  2 weeks ago,2,Tier 2 - Gold,Medical,"Montreal, QC",8,USD,"USD $80,000",80000.0,"USD $1,600",1600.0,USD $125,125.43999999999998,0.856,0.7,0.595,0.5355,0.4284,General conversion optimization,consultation_funnel,6 likes  ·  2 weeks ago,pending,,new,,high,2025-08-01T09:00:00,Discovered via consultation_funnel. Fit score: 0.86. HIGH VALUE TARGET - immediate outreach recommended. Medical practice = stable business model.,2025-07-30T14:52:32.817366,2025-07-30T14:52:32.817366
"Gertsoyg & Company, Comprehensive Legal Services",yglaw.ca,https://yglaw.ca,2,Tier 2 - Gold,Legal,"Vancouver, BC",8,CAD,"CAD $120,000",120000.0,"CAD $3,300",3300.0000000000005,CAD $333,332.6400000000001,0.854,0.7,0.595,0.5355,0.26775,General conversion optimization,consultation_funnel,yglaw.ca,pending,,new,,high,2025-08-01T09:00:00,Discovered via consultation_funnel. Fit score: 0.85. HIGH VALUE TARGET - immediate outreach recommended. Legal services = high LTV potential.,2025-07-30T14:52:32.817366,2025-07-30T14:52:32.817366
Tax Accountants in Toronto - Adil & Associates,adilcpa.ca › tax-accountants-toronto,https://adilcpa.ca,2,Tier 2 - Gold,Accounting,"Toronto, ON",8,CAD,"CAD $86,667",86666.66666666667,"CAD $2,167",2166.666666666667,CAD $158,157.73333333333338,0.854,0.7,0.595,0.5355,0.26775,General conversion optimization,accounting_services,adilcpa.ca,pending,,new,,high,2025-08-01T09:00:00,Discovered via accounting_services. Fit score: 0.85. HIGH VALUE TARGET - immediate outreach recommended.,2025-07-30T14:52:32.818366,2025-07-30T14:52:32.818366
Family Medicine - Book an Appointment,gracemedicalclinic.ca › book-an-appointm...,https://gracemedicalclinic.ca,3,Tier 3 - Silver,Medical,"Toronto, ON",5,CAD,"CAD $50,000",50000.0,"CAD $1,100",1100.0,CAD $86,86.23999999999998,0.838,0.8,0.68,0.6120000000000001,0.4896000000000001,General conversion optimization,general_services,gracemedicalclinic.ca,pending,,new,,medium,2025-08-04T09:00:00,Discovered via general_services. Fit score: 0.84. Medical practice = stable business model.,2025-07-30T14:52:32.818366,2025-07-30T14:52:32.818366
Frequently Asked Questions - New Patient Registration,albanyclinic.ca › new-patient-registration,https://albanyclinic.ca,3,Tier 3 - Silver,Medical,"Toronto, ON",5,CAD,"CAD $50,000",50000.0,"CAD $1,000",1000.0,CAD $78,78.39999999999999,0.838,0.8,0.68,0.6120000000000001,0.4896000000000001,General conversion optimization,general_services,albanyclinic.ca,pending,,new,,medium,2025-08-04T09:00:00,Discovered via general_services. Fit score: 0.84. Medical practice = stable business model.,2025-07-30T14:52:32.818366,2025-07-30T14:52:32.818366
Family Doctor Accepting New Patients Now in Thornhill,torontopolyclinic.com › uncategorized,https://torontopolyclinic.com,3,Tier 3 - Silver,Medical,"Toronto, ON",5,USD,"USD $50,000",50000.0,"USD $1,000",1000.0,USD $78,78.39999999999999,0.838,0.8,0.68,0.6120000000000001,0.4896000000000001,General conversion optimization,general_services,torontopolyclinic.com,pending,,new,,medium,2025-08-04T09:00:00,Discovered via general_services. Fit score: 0.84. Medical practice = stable business model.,2025-07-30T14:52:32.818366,2025-07-30T14:52:32.818366
Family Doctor,fortyorkmedical.com › family-doctor,https://fortyorkmedical.com,3,Tier 3 - Silver,Medical,"Toronto, ON",5,USD,"USD $50,000",50000.0,"USD $1,100",1100.0,USD $86,86.23999999999998,0.838,0.8,0.68,0.6120000000000001,0.4896000000000001,General conversion optimization,general_services,fortyorkmedical.com,pending,,new,,medium,2025-08-04T09:00:00,Discovered via general_services. Fit score: 0.84. Medical practice = stable business model.,2025-07-30T14:52:32.818366,2025-07-30T14:52:32.818366
Family Doctor Alternative Toronto | Care& Medical Clinic,careand.ca › services,https://careand.ca,3,Tier 3 - Silver,Medical,"Toronto, ON",5,CAD,"CAD $50,000",50000.0,"CAD $1,000",1000.0,CAD $78,78.39999999999999,0.838,0.8,0.68,0.6120000000000001,0.4896000000000001,General conversion optimization,general_services,careand.ca,pending,,new,,medium,2025-08-04T09:00:00,Discovered via general_services. Fit score: 0.84. Medical practice = stable business model.,2025-07-30T14:52:32.818366,2025-07-30T14:52:32.818366
What are some good physiotherapy clinics in ottawa?,20+ comments  ·  7 years ago,https://20+ comments  ·  7 years ago,3,Tier 3 - Silver,Medical,"Ottawa, ON",5,USD,"USD $50,000",50000.0,"USD $1,000",1000.0,USD $78,78.39999999999999,0.838,0.8,0.68,0.6120000000000001,0.4896000000000001,General conversion optimization,general_services,20+ comments  ·  7 years ago,pending,,new,,medium,2025-08-04T09:00:00,Discovered via general_services. Fit score: 0.84. Medical practice = stable business model.,2025-07-30T14:52:32.818366,2025-07-30T14:52:32.818366
"COMPLETE FAMILY MEDICINE - Douglasville, GA",m.yelp.ca › ... › doctors › family practice,https://m.yelp.ca,3,Tier 3 - Silver,Medical,Canada,5,CAD,"CAD $50,000",50000.0,"CAD $1,000",1000.0,CAD $78,78.39999999999999,0.838,0.8,0.68,0.6120000000000001,0.4896000000000001,General conversion optimization,family_services,m.yelp.ca,pending,,new,,medium,2025-08-04T09:00:00,Discovered via family_services. Fit score: 0.84. Medical practice = stable business model.,2025-07-30T14:52:32.818366,2025-07-30T14:52:32.818366
"TOP 10 BEST Private Practice Doctor in Marietta, GA",yelp.ca › health & medical,https://yelp.ca,3,Tier 3 - Silver,Medical,Canada,5,CAD,"CAD $50,000",50000.0,"CAD $1,000",1000.0,CAD $78,78.39999999999999,0.838,0.8,0.68,0.6120000000000001,0.4896000000000001,General conversion optimization,family_services,yelp.ca,pending,,new,,medium,2025-08-04T09:00:00,Discovered via family_services. Fit score: 0.84. Medical practice = stable business model.,2025-07-30T14:52:32.818366,2025-07-30T14:52:32.818366
Solutions to Bolster Primary Care,cfpc.ca › transforming-the-foundatio...,https://cfpc.ca,3,Tier 3 - Silver,Medical,Canada,5,CAD,"CAD $50,000",50000.0,"CAD $1,000",1000.0,CAD $78,78.39999999999999,0.838,0.8,0.68,0.6120000000000001,0.4896000000000001,General conversion optimization,family_services,cfpc.ca,pending,,new,,medium,2025-08-04T09:00:00,Discovered via family_services. Fit score: 0.84. Medical practice = stable business model.,2025-07-30T14:52:32.818366,2025-07-30T14:52:32.818366
Successful Independent Family Practice Medical Clinic,loopnet.ca › biz › business-opportunity › s...,https://loopnet.ca,3,Tier 3 - Silver,Medical,Canada,5,CAD,"CAD $50,000",50000.0,"CAD $1,000",1000.0,CAD $78,78.39999999999999,0.838,0.8,0.68,0.6120000000000001,0.4896000000000001,General conversion optimization,family_services,loopnet.ca,pending,,new,,medium,2025-08-04T09:00:00,Discovered via family_services. Fit score: 0.84. Medical practice = stable business model.,2025-07-30T14:52:32.818366,2025-07-30T14:52:32.818366
First Five Years in Family Practice initiative,cfp.ca › content,https://cfp.ca,3,Tier 3 - Silver,Medical,Canada,5,CAD,"CAD $50,000",50000.0,"CAD $1,000",1000.0,CAD $78,78.39999999999999,0.838,0.8,0.68,0.6120000000000001,0.4896000000000001,General conversion optimization,family_services,cfp.ca,pending,,new,,medium,2025-08-04T09:00:00,Discovered via family_services. Fit score: 0.84. Medical practice = stable business model.,2025-07-30T14:52:32.818366,2025-07-30T14:52:32.818366
Incentive funding in BC is a key factor for physicians to remain in ...,cmaj.ca › content,https://cmaj.ca,3,Tier 3 - Silver,Medical,Canada,5,CAD,"CAD $50,000",50000.0,"CAD $1,000",1000.0,CAD $78,78.39999999999999,0.838,0.8,0.68,0.6120000000000001,0.4896000000000001,General conversion optimization,family_services,cmaj.ca,pending,,new,,medium,2025-08-04T09:00:00,Discovered via family_services. Fit score: 0.84. Medical practice = stable business model.,2025-07-30T14:52:32.818366,2025-07-30T14:52:32.818366
Taking Over a Family Practice,healthforceontario.ca › tips-tofp-en,https://healthforceontario.ca,3,Tier 3 - Silver,Medical,"Ontario, CA",5,CAD,"CAD $50,000",50000.0,"CAD $1,000",1000.0,CAD $78,78.39999999999999,0.838,0.8,0.68,0.6120000000000001,0.4896000000000001,General conversion optimization,family_services,healthforceontario.ca,pending,,new,,medium,2025-08-04T09:00:00,Discovered via family_services. Fit score: 0.84. Medical practice = stable business model.,2025-07-30T14:52:32.818366,2025-07-30T14:52:32.818366
Assessment Objectives for Certification in Family Medicine,cfpc.ca › resources › examinations,https://cfpc.ca,3,Tier 3 - Silver,Medical,Canada,5,CAD,"CAD $50,000",50000.0,"CAD $1,000",1000.0,CAD $78,78.39999999999999,0.838,0.8,0.68,0.6120000000000001,0.4896000000000001,General conversion optimization,family_services,cfpc.ca,pending,,new,,medium,2025-08-04T09:00:00,Discovered via family_services. Fit score: 0.84. Medical practice = stable business model.,2025-07-30T14:52:32.818366,2025-07-30T14:52:32.818366
Rural Family Medicine Enhanced Surgical Skills OB Locum ...,www2.gov.bc.ca › resso_policy-april-2025,https://www2.gov.bc.ca,3,Tier 3 - Silver,Medical,Canada,5,CAD,"CAD $50,000",50000.0,"CAD $1,000",1000.0,CAD $78,78.39999999999999,0.838,0.8,0.68,0.6120000000000001,0.4896000000000001,General conversion optimization,family_services,www2.gov.bc.ca,pending,,new,,medium,2025-08-04T09:00:00,Discovered via family_services. Fit score: 0.84. Medical practice = stable business model.,2025-07-30T14:52:32.818366,2025-07-30T14:52:32.818366
Medical Practices For Sale,loopnet.ca › biz › medical-practices-for-sale,https://loopnet.ca,3,Tier 3 - Silver,Medical,Canada,5,CAD,"CAD $50,000",50000.0,"CAD $1,000",1000.0,CAD $78,78.39999999999999,0.838,0.8,0.68,0.6120000000000001,0.4896000000000001,General conversion optimization,family_services,loopnet.ca,pending,,new,,medium,2025-08-04T09:00:00,Discovered via family_services. Fit score: 0.84. Medical practice = stable business model.,2025-07-30T14:52:32.818366,2025-07-30T14:52:32.818366
"Hearing Test, Hearing Clinic and Hearing Aids | Anik Street ...",hearinglife.ca › centers › ontario,https://hearinglife.ca,3,Tier 3 - Silver,Medical,"Ontario, CA",5,CAD,"CAD $50,000",50000.0,"CAD $1,000",1000.0,CAD $78,78.39999999999999,0.838,0.8,0.68,0.6120000000000001,0.4896000000000001,General conversion optimization,booking_optimization,hearinglife.ca,pending,,new,,medium,2025-08-04T09:00:00,Discovered via booking_optimization. Fit score: 0.84. Medical practice = stable business model.,2025-07-30T14:52:32.818366,2025-07-30T14:52:32.818366
Why Finding a Physio Close to Me is the Key to Consistent ...,globalhealthphysiotherapy.ca › resources,https://globalhealthphysiotherapy.ca,3,Tier 3 - Silver,Medical,Canada,5,CAD,"CAD $50,000",50000.0,"CAD $1,000",1000.0,CAD $78,78.39999999999999,0.838,0.8,0.68,0.6120000000000001,0.4896000000000001,General conversion optimization,booking_optimization,globalhealthphysiotherapy.ca,pending,,new,,medium,2025-08-04T09:00:00,Discovered via booking_optimization. Fit score: 0.84. Medical practice = stable business model.,2025-07-30T14:52:32.818366,2025-07-30T14:52:32.818366
"Hearing Test, Hearing Clinic and Hearing Aids in St. Paul",hearinglife.ca › centers › alberta,https://hearinglife.ca,3,Tier 3 - Silver,Medical,Canada,5,CAD,"CAD $50,000",50000.0,"CAD $1,000",1000.0,CAD $78,78.39999999999999,0.838,0.8,0.68,0.6120000000000001,0.4896000000000001,General conversion optimization,booking_optimization,hearinglife.ca,pending,,new,,medium,2025-08-04T09:00:00,Discovered via booking_optimization. Fit score: 0.84. Medical practice = stable business model.,2025-07-30T14:52:32.818366,2025-07-30T14:52:32.818366
IUD Removal Procedure – What to Expect at Clinic,citymedhealth.ca › 2025,https://citymedhealth.ca,3,Tier 3 - Silver,Medical,Canada,5,CAD,"CAD $50,000",50000.0,"CAD $1,000",1000.0,CAD $78,78.39999999999999,0.838,0.8,0.68,0.6120000000000001,0.4896000000000001,General conversion optimization,booking_optimization,citymedhealth.ca,pending,,new,,medium,2025-08-04T09:00:00,Discovered via booking_optimization. Fit score: 0.84. Medical practice = stable business model.,2025-07-30T14:52:32.818366,2025-07-30T14:52:32.818366
4 Problems that Physiotherapists Can Treat,oakridgephysio.ca › 4-problems-that-physiothera...,https://oakridgephysio.ca,3,Tier 3 - Silver,Medical,Canada,5,CAD,"CAD $50,000",50000.0,"CAD $1,100",1100.0,CAD $86,86.23999999999998,0.838,0.8,0.68,0.6120000000000001,0.4896000000000001,General conversion optimization,booking_optimization,oakridgephysio.ca,pending,,new,,medium,2025-08-04T09:00:00,Discovered via booking_optimization. Fit score: 0.84. Medical practice = stable business model.,2025-07-30T14:52:32.818366,2025-07-30T14:52:32.818366
Hearing Aid Treatment | Personalized Care at All Ears,allearsclinics.ca › hearing-aid-treatment,https://allearsclinics.ca,3,Tier 3 - Silver,Medical,Canada,5,CAD,"CAD $50,000",50000.0,"CAD $1,100",1100.0,CAD $86,86.23999999999998,0.838,0.8,0.68,0.6120000000000001,0.4896000000000001,General conversion optimization,booking_optimization,allearsclinics.ca,pending,,new,,medium,2025-08-04T09:00:00,Discovered via booking_optimization. Fit score: 0.84. Medical practice = stable business model.,2025-07-30T14:52:32.818366,2025-07-30T14:52:32.818366
Barefoot running: Is it right for you?,oakridgephysio.ca › barefoot-running-is-it-right-...,https://oakridgephysio.ca,3,Tier 3 - Silver,Medical,Canada,5,CAD,"CAD $50,000",50000.0,"CAD $1,100",1100.0,CAD $86,86.23999999999998,0.838,0.8,0.68,0.6120000000000001,0.4896000000000001,General conversion optimization,booking_optimization,oakridgephysio.ca,pending,,new,,medium,2025-08-04T09:00:00,Discovered via booking_optimization. Fit score: 0.84. Medical practice = stable business model.,2025-07-30T14:52:32.818366,2025-07-30T14:52:32.818366
Lipotropic Injections Near Me in Markham,idcosmeticclinic.ca › news,https://idcosmeticclinic.ca,3,Tier 3 - Silver,Medical,Canada,5,CAD,"CAD $50,000",50000.0,"CAD $1,100",1100.0,CAD $86,86.23999999999998,0.838,0.8,0.68,0.6120000000000001,0.4896000000000001,General conversion optimization,booking_optimization,idcosmeticclinic.ca,pending,,new,,medium,2025-08-04T09:00:00,Discovered via booking_optimization. Fit score: 0.84. Medical practice = stable business model.,2025-07-30T14:52:32.818366,2025-07-30T14:52:32.818366
Best family doctor accepting new patients near East York ...,"m.yelp.com › search › find_loc=east+york,+toro...",https://m.yelp.com,3,Tier 3 - Silver,Medical,"Toronto, ON",5,USD,"USD $50,000",50000.0,"USD $1,000",1000.0,USD $78,78.39999999999999,0.838,0.8,0.68,0.6120000000000001,0.4896000000000001,General conversion optimization,general_services,m.yelp.com,pending,,new,,medium,2025-08-04T09:00:00,Discovered via general_services. Fit score: 0.84. Medical practice = stable business model.,2025-07-30T14:52:32.818366,2025-07-30T14:52:32.818366
HealthOne Medical Walk-In Clinic at The Well in Toronto,healthone.ca › the-well › medical-tw,https://healthone.ca,3,Tier 3 - Silver,Medical,"Toronto, ON",5,CAD,"CAD $50,000",50000.0,"CAD $1,000",1000.0,CAD $78,78.39999999999999,0.838,0.8,0.68,0.6120000000000001,0.4896000000000001,General conversion optimization,general_services,healthone.ca,pending,,new,,medium,2025-08-04T09:00:00,Discovered via general_services. Fit score: 0.84. Medical practice = stable business model.,2025-07-30T14:52:32.818366,2025-07-30T14:52:32.818366
St. Clair Medical Clinic,stclairmedical.ca,https://stclairmedical.ca,3,Tier 3 - Silver,Medical,"Toronto, ON",5,CAD,"CAD $50,000",50000.0,"CAD $1,200",1200.0,CAD $94,94.07999999999998,0.838,0.8,0.68,0.6120000000000001,0.4896000000000001,General conversion optimization,general_services,stclairmedical.ca,pending,,new,,medium,2025-08-04T09:00:00,Discovered via general_services. Fit score: 0.84. Medical practice = stable business model.,2025-07-30T14:52:32.818366,2025-07-30T14:52:32.818366
Family Doctor and Walk-In Clinic in Bayside,intrepidhealthgroup.com › clinics,https://intrepidhealthgroup.com,3,Tier 3 - Silver,Medical,"Toronto, ON",5,USD,"USD $50,000",50000.0,"USD $1,000",1000.0,USD $78,78.39999999999999,0.838,0.8,0.68,0.6120000000000001,0.4896000000000001,General conversion optimization,general_services,intrepidhealthgroup.com,pending,,new,,medium,2025-08-04T09:00:00,Discovered via general_services. Fit score: 0.84. Medical practice = stable business model.,2025-07-30T14:52:32.818366,2025-07-30T14:52:32.818366
Free Consultation And Legal Advice - Centra Lawyers,centralawyers.ca › free-consultation,https://centralawyers.ca,3,Tier 3 - Silver,Legal,"Vancouver, BC",6,CAD,"CAD $90,000",90000.0,"CAD $2,250",2250.0,CAD $227,226.79999999999998,0.838,0.5,0.425,0.3825,0.19125,General conversion optimization,consultation_funnel,centralawyers.ca,pending,,new,,medium,2025-08-04T09:00:00,Discovered via consultation_funnel. Fit score: 0.84. Legal services = high LTV potential.,2025-07-30T14:52:32.818366,2025-07-30T14:52:32.818366
Contact Clark Woods LLP Trusted Law Firm in Vancouver BC,clarkwoods.ca › contact-us,https://clarkwoods.ca,3,Tier 3 - Silver,Legal,"Vancouver, BC",6,CAD,"CAD $90,000",90000.0,"CAD $2,250",2250.0,CAD $227,226.79999999999998,0.838,0.5,0.425,0.3825,0.19125,General conversion optimization,consultation_funnel,clarkwoods.ca,pending,,new,,medium,2025-08-04T09:00:00,Discovered via consultation_funnel. Fit score: 0.84. Legal services = high LTV potential.,2025-07-30T14:52:32.818366,2025-07-30T14:52:32.818366
Legal Services - Law Firm Vancouver & Langley - LK Law,lklaw.ca › services,https://lklaw.ca,3,Tier 3 - Silver,Legal,"Vancouver, BC",6,CAD,"CAD $90,000",90000.0,"CAD $2,250",2250.0,CAD $227,226.79999999999998,0.838,0.5,0.425,0.3825,0.19125,General conversion optimization,consultation_funnel,lklaw.ca,pending,,new,,medium,2025-08-04T09:00:00,Discovered via consultation_funnel. Fit score: 0.84. Legal services = high LTV potential.,2025-07-30T14:52:32.818366,2025-07-30T14:52:32.818366
DAVISON NORTH LAW – Corporate And Litigation Law Firm ...,davisonnorth.ca,https://davisonnorth.ca,3,Tier 3 - Silver,Legal,"Vancouver, BC",6,CAD,"CAD $90,000",90000.0,"CAD $2,250",2250.0,CAD $227,226.79999999999998,0.838,0.5,0.425,0.3825,0.19125,General conversion optimization,consultation_funnel,davisonnorth.ca,pending,,new,,medium,2025-08-04T09:00:00,Discovered via consultation_funnel. Fit score: 0.84. Legal services = high LTV potential.,2025-07-30T14:52:32.818366,2025-07-30T14:52:32.818366
"BC Lawyers, Law Firm in Vancouver British Columbia",gkthomaslaw.ca › bc-lawyers,https://gkthomaslaw.ca,3,Tier 3 - Silver,Legal,"Vancouver, BC",6,CAD,"CAD $90,000",90000.0,"CAD $2,250",2250.0,CAD $227,226.79999999999998,0.838,0.5,0.425,0.3825,0.19125,General conversion optimization,consultation_funnel,gkthomaslaw.ca,pending,,new,,medium,2025-08-04T09:00:00,Discovered via consultation_funnel. Fit score: 0.84. Legal services = high LTV potential.,2025-07-30T14:52:32.818366,2025-07-30T14:52:32.818366
Bronson Jones Gray & Company LLP: Lawyers Greater ...,bjglaw.ca,https://bjglaw.ca,3,Tier 3 - Silver,Legal,"Vancouver, BC",6,CAD,"CAD $90,000",90000.0,"CAD $2,250",2250.0,CAD $227,226.79999999999998,0.838,0.5,0.425,0.3825,0.19125,General conversion optimization,consultation_funnel,bjglaw.ca,pending,,new,,medium,2025-08-04T09:00:00,Discovered via consultation_funnel. Fit score: 0.84. Legal services = high LTV potential.,2025-07-30T14:52:32.818366,2025-07-30T14:52:32.818366
How Much Does It Cost: initial consultation with a lawyer,iconlaw.ca › how-it-works,https://iconlaw.ca,3,Tier 3 - Silver,Legal,"Vancouver, BC",6,CAD,"CAD $90,000",90000.0,"CAD $2,250",2250.0,CAD $227,226.79999999999998,0.838,0.5,0.425,0.3825,0.19125,General conversion optimization,consultation_funnel,iconlaw.ca,pending,,new,,medium,2025-08-04T09:00:00,Discovered via consultation_funnel. Fit score: 0.84. Legal services = high LTV potential.,2025-07-30T14:52:32.818366,2025-07-30T14:52:32.818366
Vancouver Estate Lawyers | Free Consultation,onyxlaw.ca › estate-lawyer-vancouver,https://onyxlaw.ca,3,Tier 3 - Silver,Legal,"Vancouver, BC",6,CAD,"CAD $90,000",90000.0,"CAD $2,250",2250.0,CAD $227,226.79999999999998,0.838,0.5,0.425,0.3825,0.19125,General conversion optimization,consultation_funnel,onyxlaw.ca,pending,,new,,medium,2025-08-04T09:00:00,Discovered via consultation_funnel. Fit score: 0.84. Legal services = high LTV potential.,2025-07-30T14:52:32.818366,2025-07-30T14:52:32.818366
JFK Law LLP | Aboriginal and Constitutional Law Firm,jfklaw.ca,https://jfklaw.ca,3,Tier 3 - Silver,Legal,"Vancouver, BC",6,CAD,"CAD $90,000",90000.0,"CAD $2,250",2250.0,CAD $227,226.79999999999998,0.838,0.5,0.425,0.3825,0.19125,General conversion optimization,consultation_funnel,jfklaw.ca,pending,,new,,medium,2025-08-04T09:00:00,Discovered via consultation_funnel. Fit score: 0.84. Legal services = high LTV potential.,2025-07-30T14:52:32.818366,2025-07-30T14:52:32.818366
Physiotherapy Calgary South [Alpine Sports Therapy Centre],alpinetherapy.ca,https://alpinetherapy.ca,3,Tier 3 - Silver,Physiotherapy,"Calgary, AB",8,CAD,"CAD $63,333",63333.333333333336,"CAD $1,583",1583.3333333333335,CAD $98,97.53333333333335,0.834,0.7,0.595,0.5355,0.3213,General conversion optimization,general_services,alpinetherapy.ca,pending,,new,,medium,2025-08-04T09:00:00,Discovered via general_services. Fit score: 0.83.,2025-07-30T14:52:32.818366,2025-07-30T14:52:32.818366
Westman,activesportstherapy.ca › westman,https://activesportstherapy.ca,3,Tier 3 - Silver,Physiotherapy,"Calgary, AB",8,CAD,"CAD $63,333",63333.333333333336,"CAD $1,583",1583.3333333333335,CAD $98,97.53333333333335,0.834,0.7,0.595,0.5355,0.3213,General conversion optimization,general_services,activesportstherapy.ca,pending,,new,,medium,2025-08-04T09:00:00,Discovered via general_services. Fit score: 0.83.,2025-07-30T14:52:32.818366,2025-07-30T14:52:32.818366
"YLaw: Family, Employment and Estates Lawyers",ylaw.ca,https://ylaw.ca,3,Tier 3 - Silver,Legal,"Vancouver, BC",5,CAD,"CAD $75,000",75000.0,"CAD $1,875",1875.0,CAD $189,189.0,0.831,0.8,0.68,0.6120000000000001,0.30600000000000005,General conversion optimization,consultation_funnel,ylaw.ca,pending,,new,,medium,2025-08-04T09:00:00,Discovered via consultation_funnel. Fit score: 0.83. Legal services = high LTV potential.,2025-07-30T14:52:32.818366,2025-07-30T14:52:32.818366
Vancouver Family Lawyers | Free Consultation,crossroadslaw.ca › vancouver-family-lawyers,https://crossroadslaw.ca,3,Tier 3 - Silver,Legal,"Vancouver, BC",5,CAD,"CAD $75,000",75000.0,"CAD $1,875",1875.0,CAD $189,189.0,0.831,0.8,0.68,0.6120000000000001,0.30600000000000005,General conversion optimization,consultation_funnel,crossroadslaw.ca,pending,,new,,medium,2025-08-04T09:00:00,Discovered via consultation_funnel. Fit score: 0.83. Legal services = high LTV potential.,2025-07-30T14:52:32.818366,2025-07-30T14:52:32.818366
BUFFALO MEDICAL GROUP PC - Updated July 2025,yelp.com › ... › health & medical › doctors,https://yelp.com,3,Tier 3 - Silver,Medical,"Toronto, ON",8,USD,"USD $73,333",73333.33333333333,"USD $1,467",1466.6666666666665,USD $115,114.98666666666665,0.826,0.7,0.595,0.5355,0.4284,General conversion optimization,general_services,yelp.com,pending,,new,,medium,2025-08-04T09:00:00,Discovered via general_services. Fit score: 0.83. Medical practice = stable business model.,2025-07-30T14:52:32.818366,2025-07-30T14:52:32.818366
portland physiotherapy clinic,portlandphysiotherapyclinic.com.au,https://portlandphysiotherapyclinic.com.au,3,Tier 3 - Silver,Medical,"Ottawa, ON",8,USD,"USD $73,333",73333.33333333333,"USD $1,467",1466.6666666666665,USD $115,114.98666666666665,0.826,0.7,0.595,0.5355,0.4284,General conversion optimization,general_services,portlandphysiotherapyclinic.com.au,pending,,new,,medium,2025-08-04T09:00:00,Discovered via general_services. Fit score: 0.83. Medical practice = stable business model.,2025-07-30T14:52:32.818366,2025-07-30T14:52:32.818366
Home - Portland Physio - East Grinstead,portland-physio.co.uk,https://portland-physio.co.uk,3,Tier 3 - Silver,Medical,"Ottawa, ON",8,USD,"USD $73,333",73333.33333333333,"USD $1,467",1466.6666666666665,USD $115,114.98666666666665,0.826,0.7,0.595,0.5355,0.4284,General conversion optimization,general_services,portland-physio.co.uk,pending,,new,,medium,2025-08-04T09:00:00,Discovered via general_services. Fit score: 0.83. Medical practice = stable business model.,2025-07-30T14:52:32.818366,2025-07-30T14:52:32.818366
New England Center for Body Sculpting,facebook.com › nebodysculpt › posts › call-...,https://facebook.com,3,Tier 3 - Silver,Medical,"Montreal, QC",8,USD,"USD $73,333",73333.33333333333,"USD $1,467",1466.6666666666665,USD $115,114.98666666666665,0.826,0.7,0.595,0.5355,0.4284,General conversion optimization,consultation_funnel,facebook.com,pending,,new,,medium,2025-08-04T09:00:00,Discovered via consultation_funnel. Fit score: 0.83. Medical practice = stable business model.,2025-07-30T14:52:32.818366,2025-07-30T14:52:32.818366
Tell Me About Yourself? - Lutherwood,starlingcs.ca › blog › tell-me-about-yourself,https://starlingcs.ca,3,Tier 3 - Silver,Other_Professional,Canada,8,CAD,"CAD $63,333",63333.333333333336,"CAD $1,583",1583.3333333333335,CAD $71,70.93333333333334,0.824,0.7,0.595,0.5355,0.26775,General conversion optimization,general_services,starlingcs.ca,pending,,new,,medium,2025-08-04T09:00:00,Discovered via general_services. Fit score: 0.82.,2025-07-30T14:52:32.818366,2025-07-30T14:52:32.818366
